Tiêu đề,Diện tích(m2),Số phòng ngủ,Số phòng WC,Thời gian đăng,Tỉnh/Thành,Quận/Huyện,Hướng nhà,Hướng ban công,Loại nhà,Giá,Link
"Bán nhà 1 SẸC HẺM XE HƠI 6M Thoại Ngọc Hầu, Quận Tân Phú, 80m2(4.5x18), 2 TẦNG",80.0,,,08/03/2023,TP Hồ Chí Minh,Tân Phú,,,Bán Nhà riêng,6.0,https://batdongsan.vn/ban-nha-1-sec-hem-xe-hoi-6m-thoai-ngoc-hau-quan-tan-phu-80m245x18-2-tang-r274381
"Bán nhà SHR Trường Chinh, DTSD 60m2, hoàn công, 2 tỷ",30.0,,,08/02/2023,TP Hồ Chí Minh,Tân Bình,,,Bán Nhà riêng,2.0,https://batdongsan.vn/ban-nha-shr-truong-chinh-dtsd-60m2-hoan-cong-2-ty-r274379
"NHÀ Q.1. BỀ NGANG KHỦNG 7M- DT LỚN - ĐƯỜNG 12M  - KHU VỰC TOÀ NHÀ VĂN PHÒNG,",93.0,,,08/02/2023,TP Hồ Chí Minh,Quận 1,,,Bán Nhà riêng,13.0,https://batdongsan.vn/nha-q1-be-ngang-khung-7m-dt-lon-duong-12m-khu-vuc-toa-nha-van-phong-r274378
"BÁN NHÀ HXH PHÚ THỌ, P1, Q11, 38M2, 3 TẦNG, 3PN, CHỈ 5.4 TỶ, 0354095924.",,,,08/02/2023,TP Hồ Chí Minh,Quận 11,,,Bán Nhà riêng,5.4,https://batdongsan.vn/ban-nha-hxh-phu-tho-p1-q11-38m2-3-tang-3pn-chi-54-ty-0354095924-r274377
"Bán nhà HXH mặt tiền đường số Linh Xuân TĐ, 135m2, 3 tầng, shr, chỉ nhỉnh 5 tỷ",135.0,,,08/02/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà mặt phố,5300000.0,https://batdongsan.vn/ban-nha-hxh-mat-tien-duong-so-linh-xuan-td-135m2-3-tang-shr-chi-nhinh-5-ty-r274376
CHỈ VỚI 480TR sở hữu ngay nhà 1 Trệt 1 Lầu ngay KCN VSIP 2,65.0,2.0,2.0,08/02/2023,Bình Dương,Bến Cát,,,Bán Nhà mặt phố,0.48,https://batdongsan.vn/chi-voi-480tr-so-huu-ngay-nha-1-tret-1-lau-ngay-kcn-vsip-2-r274373
Q.1 - CĂN HỘ LUNG LINH NGAY PHỐ TÂY - NGANG 3.5M - 4 TẦNG 4 PN,25.0,,,08/02/2023,TP Hồ Chí Minh,Quận 1,,,Bán Nhà riêng,5.8,https://batdongsan.vn/q1-can-ho-lung-linh-ngay-pho-tay-ngang-35m-4-tang-4-pn-r274372
Nhà Hoàng Hoa Thám phường 6 Bình Thạnh – đang cho thuê 6m – 22tr/tháng,54.0,9.0,6.0,08/02/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà mặt phố,3.6,https://batdongsan.vn/nha-hoang-hoa-tham-phuong-6-binh-thanh-dang-cho-thue-6m-22trthang-r274371
Nhà Hoàng Hoa Thám phường 6 Bình Thạnh – đang cho thuê 6m – 22tr/tháng,54.0,9.0,6.0,08/02/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà mặt phố,3.6,https://batdongsan.vn/nha-hoang-hoa-tham-phuong-6-binh-thanh-dang-cho-thue-6m-22trthang-r274370
"Anh chị phải bay thì mới mua được căn này 37m2x4 Tầng ở Khâm Thiên, Đống Đa nhỉnh 4 Tỷ- ô tô, kdoanh.",37.0,4.0,4.0,08/02/2023,Hà Nội,Đống Đa,,,Bán Nhà mặt phố,43.0,https://batdongsan.vn/anh-chi-phai-bay-thi-moi-mua-duoc-can-nay-37m2x4-tang-o-kham-thien-dong-da-nhinh-4-ty-o-to-kdoanh-r274369
NHÀ TÂN THỚI HIỆP – QUẬN 12 - 56M2 - 3 TẦNG BTCT – HXH HƠN 4.5M - NHỈNH 4 TỶ,56.0,4.0,3.0,08/02/2023,TP Hồ Chí Minh,Quận 12,,,Bán Nhà,4.5,https://batdongsan.vn/nha-tan-thoi-hiep-quan-12-56m2-3-tang-btct-hxh-hon-45m-nhinh-4-ty-r274367
"NHÀ BÁN HẺM XE TẢI, GẦN HƯƠNG LỘ 2 BÌNH TÂN, DTSD: 50.5m2, 3 TẦNG, CHỈ 1 TỶ 900",50.5,,,08/02/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà riêng,1900000000.0,https://batdongsan.vn/nha-ban-hem-xe-tai-gan-huong-lo-2-binh-tan-dtsd-505m2-3-tang-chi-1-ty-900-r274364
"'Mặt tiền kinh doanh, Khu vip Tên Lửa, Bình Tân, Nhà 5 Tầng, giá rẻ",86.0,12.0,12.0,08/02/2023,TP Hồ Chí Minh,Bình Tân,Nam,Nam,Bán Nhà riêng,10.0,https://batdongsan.vn/mat-tien-kinh-doanh-khu-vip-ten-lua-binh-tan-nha-5-tang-gia-re-r274363
"NHÀ 2 MẶT HẺM XE HƠI, 4X11, HƯƠNG LỘ 2 BÌNH TÂN, 3 TỶ XÍU XÍU",,,,08/02/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà riêng,3300000000.0,https://batdongsan.vn/nha-2-mat-hem-xe-hoi-4x11-huong-lo-2-binh-tan-3-ty-xiu-xiu-r274362
SIÊU PHẨM LA KHÊ HÀ ĐÔNG -KINH DOANH SẦM UẤT-Ô TÔ ĐỖ CỬA NGÀY ĐÊM - KHU VỰC HIẾM- 5 TẦNG GIÁ 6.1 TỶ,43.0,6.0,4.0,08/03/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,,https://batdongsan.vn/sieu-pham-la-khe-ha-dong-kinh-doanh-sam-uat-o-to-d-cua-ngay-dem-khu-vuc-hiem-5-tang-gia-61-ty-r274361
SIÊU PHẨM LA KHÊ HÀ ĐÔNG -KINH DOANH SẦM UẤT-Ô TÔ ĐỖ CỬA NGÀY ĐÊM - KHU VỰC HIẾM- 5 TẦNG GIÁ 6.1 TỶ,43.0,6.0,4.0,08/03/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,,https://batdongsan.vn/sieu-pham-la-khe-ha-dong-kinh-doanh-sam-uat-o-to-d-cua-ngay-dem-khu-vuc-hiem-5-tang-gia-61-ty-r274360
"Bán Gấp nhà MT Mạc Đăng Doanh view công viên, Hòa Xuân,100m2, Giá chỉ 4.7tỷ Tl,",100.0,3.0,4.0,08/03/2023,Đà Nẵng,Cẩm Lệ,Tây-Nam,,Bán Nhà mặt phố,4.7,https://batdongsan.vn/ban-gap-nha-mt-mac-dang-doanh-view-cong-vien-hoa-xuan100m2-gia-chi-47ty-tl-r274359
Biệt Thự Nghỉ Dưỡng - F8 - Tp. Đà Lạt.,487.0,6.0,5.0,08/02/2023,Lâm Đồng,Đà Lạt,Tây-Bắc,,Bán Nhà riêng,36.0,https://batdongsan.vn/biet-thu-nghi-duong-f8-tp-da-lat-r274352
"Biệt thự mini sân vườn Ngọc Thuỵ, 110m x 5 tầng, mặt tiền 6m, 2 mặt ôtô",110.0,6.0,5.0,08/02/2023,Hà Nội,Long Biên,,,Bán Nhà riêng,14.5,https://batdongsan.vn/biet-thu-mini-san-vuon-ngoc-thuy-110m-x-5-tang-mat-tien-6m-2-mat-oto-r274351
Chỉ với 6.x tỷ sở hữu ngay căn biệt thự tại khu đô thị Centa Vsip Bắc Ninh,135.0,,,08/02/2023,Bắc Ninh,Từ Sơn,,,Bán Nhà mặt phố,6500.0,https://batdongsan.vn/chi-voi-6x-ty-so-huu-ngay-can-biet-thu-tai-khu-do-thi-centa-vsip-bac-ninh-r274350
"Bán nhà ở 3 tầng khu cao cấp 97 Bạch Đằng, Hạ Lý, Hồng Bàng, Hải Phòng hơn 9 tỷ",78.0,3.0,3.0,08/02/2023,Hải Phòng,Hồng Bàng,Nam,Nam,Bán Nhà riêng,9.6,https://batdongsan.vn/ban-nha-o-3-tang-khu-cao-cap-97-bach-dang-ha-ly-hong-bang-hai-phong-hon-9-ty-r274349
"Bán nhà phố Đội Cấn, Ba Đình, thang máy, ô tô vào nhà, tiện KD, 6 tầng 38 m2 giá 10.2 tỷ",38.0,4.0,5.0,08/02/2023,Hà Nội,Ba Đình,,,Bán Nhà riêng,10.2,https://batdongsan.vn/ban-nha-pho-doi-can-ba-dinh-thang-may-o-to-vao-nha-tien-kd-6-tang-38-m2-gia-102-ty-r274347
"Bán nhà phố Đội Cấn, Ba Đình, thang máy, ô tô vào nhà, tiện KD, 6 tầng 38 m2 giá 10.2 tỷ",38.0,4.0,5.0,08/02/2023,Hà Nội,Ba Đình,,,Bán Nhà riêng,10.2,https://batdongsan.vn/ban-nha-pho-doi-can-ba-dinh-thang-may-o-to-vao-nha-tien-kd-6-tang-38-m2-gia-102-ty-r274346
"Nhà phố sang trọng – cao cấp nhất Tân Uyên , mà giá chỉ 2,4 tỷ",62.0,2.0,3.0,08/02/2023,Bình Dương,Tân Uyên,,,Bán Nhà mặt phố,2.4,https://batdongsan.vn/nha-pho-sang-trong-cao-cap-nhat-tan-uyen-ma-gia-chi-24-ty-r274345
"SIÊU HOT_Bán Nhà phân lô Thái Hà_OTO tránh KD đẹp_85m2x3 tầng chỉ 14,5 tỷ",85.0,,,08/02/2023,Hà Nội,Đống Đa,,,Bán Nhà mặt phố,14.5,https://batdongsan.vn/sieu-hot-ban-nha-phan-lo-thai-ha-oto-tranh-kd-dep-85m2x3-tang-chi-145-ty-r274344
"Bán gấp căn biệt thự view sông Hiệp Bình Chánh, Diện tích 400 m² Giá 16 Tỷ",400.0,5.0,5.0,08/02/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà riêng,16.0,https://batdongsan.vn/ban-gap-can-biet-thu-view-song-hiep-binh-chanh-dien-tich-400-m-gia-16-ty-r274342
"SIÊU HOT_Bán Nhà phân lô Thái Hà_OTO tránh KD đẹp_85m2x3 tầng chỉ 14,5 tỷ",85.0,,,08/02/2023,Hà Nội,Đống Đa,,,Bán Nhà mặt phố,14.5,https://batdongsan.vn/sieu-hot-ban-nha-phan-lo-thai-ha-oto-tranh-kd-dep-85m2x3-tang-chi-145-ty-r274337
Chỉ 3.5 tỷ (50tr/m2) 70m2 4x18m Nguyễn Văn Khối CV Làng Hoa,70.0,2.0,2.0,08/02/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà mặt phố,3500.0,https://batdongsan.vn/chi-35-ty-50trm2-70m2-4x18m-nguyen-van-khoi-cv-lang-hoa-r274332
"NGỘP SÂU, GIẢM 200TR BÁN NHANH,NHÀ 1 TRỆT 1 LẦU,93M2 TẠI P. BÌNH CHUẨN, TP. THUẬN AN",93.0,4.0,3.0,08/02/2023,Bình Dương,Thuận An,,,Bán Nhà mặt phố,2.85,https://batdongsan.vn/ngop-sau-giam-200tr-ban-nhanhnha-1-tret-1-lau93m2-tai-p-binh-chuan-tp-thuan-an-r274331
"Bán nhà TĂNG NHƠN PHÚ B,LÊ VĂN VIỆT,QUẬN 9",50.0,,,08/02/2023,TP Hồ Chí Minh,Quận 9,,,Bán Nhà riêng,3.5,https://batdongsan.vn/ban-nha-tang-nhon-phu-ble-van-vietquan-9-r274329
"Bán nhà hẻm 1/ đường Tên Lửa giá 1,7 tỷ",30.0,,,08/02/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà riêng,1.7,https://batdongsan.vn/ban-nha-hem-1-duong-ten-lua-gia-17-ty-r274328
"Cần bán nhà đẹp ở ngay 10 bước chân ra phố Vũ Trọng Phụng 35m2, 6 tầng giá 6.5 tỷ",35.0,,,08/02/2023,Hà Nội,Thanh Xuân,,,Bán Nhà riêng,6.5,https://batdongsan.vn/can-ban-nha-dep-o-ngay-10-buoc-chan-ra-pho-vu-trong-phung-35m2-6-tang-gia-65-ty-r274327
"Nhà 4 tầng đường ô tô tránh, cạnh TT Mobil Nguyễn Hữu Tiến, 6.5 tỷ",62.0,4.0,4.0,08/02/2023,TP Hồ Chí Minh,Tân Phú,,,Bán Nhà riêng,6.5,https://batdongsan.vn/nha-4-tang-duong-o-to-tranh-canh-tt-mobil-nguyen-huu-tien-65-ty-r274320
"Bán nhà mặt phố Lạc Trung, Hai Bà Trưng - 94m, mặt tiền 6.3m. Giá: 38 tỷ",94.0,2.0,,08/02/2023,Hà Nội,Hai Bà Trưng,,,Bán Nhà mặt phố,38.0,https://batdongsan.vn/ban-nha-mat-pho-lac-trung-hai-ba-trung-94m-mat-tien-63m-gia-38-ty-r274318
Lạc Long Quân – ngay chợ vải Tân Bình – 48m2 – 3 tầng – giá hơn 4 tỷ.,48.0,,,08/02/2023,TP Hồ Chí Minh,Tân Bình,,,Bán Nhà riêng,4.6,https://batdongsan.vn/lac-long-quan-ngay-cho-vai-tan-binh-48m2-3-tang-gia-hon-4-ty-r274317
"Bán nhà phố Lạc Trung, Hai Bà Trưng 86m, 5 tầng, mt 4.5 tỷ. Giá: 16.4 tỷ",86.0,4.0,,08/02/2023,Hà Nội,Hai Bà Trưng,,,Bán Nhà riêng,16.4,https://batdongsan.vn/ban-nha-pho-lac-trung-hai-ba-trung-86m-5-tang-mt-45-ty-gia-164-ty-r274313
Bán nhà 120m2 1 sẹc tỉnh lộ 10 liền kề chợ đất đỏ,120.0,2.0,2.0,08/02/2023,TP Hồ Chí Minh,Bình Chánh,,,Bán Nhà riêng,1.15,https://batdongsan.vn/ban-nha-120m2-1-sec-tinh-lo-10-lien-ke-cho-dat-do-r274310
"1.1 TỶ CÓ NGAY HỘ KHẨU THÁI THỊNH, P NGÃ TƯ SỞ, Q ĐỐNG ĐA DIỆN TÍCH 25/30M",2530.0,1.0,1.0,08/02/2023,Hà Nội,Đống Đa,,,Bán Nhà riêng,1.1,https://batdongsan.vn/11-ty-co-ngay-ho-khau-thai-thinh-p-nga-tu-so-q-dong-da-dien-tich-2530m-r274309
"1.1 TỶ CÓ NGAY HỘ KHẨU THÁI THỊNH, P NGÃ TƯ SỞ, Q ĐỐNG ĐA DIỆN TÍCH 25/30M",2530.0,1.0,1.0,08/02/2023,Hà Nội,Đống Đa,,,Bán Nhà riêng,1.1,https://batdongsan.vn/11-ty-co-ngay-ho-khau-thai-thinh-p-nga-tu-so-q-dong-da-dien-tich-2530m-r274308
"Nhà Hẻm Xe Tải Thông Phạm Văn Chiêu, Ph. 9, Gò Vấp, Ngang 4 x 16, 4 Tầng BTCT, Nhỉnh 5 Tỷ.",60.0,4.0,4.0,08/02/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà riêng,5.9,https://batdongsan.vn/nha-hem-xe-tai-thong-pham-van-chieu-ph-9-go-vap-ngang-4-x-16-4-tang-btct-nhinh-5-ty-r274305
"Bán nhà hẻm Hoàng Văn Thụ, 3 tầng, ngang 4.2m, nhỉnh 3 tỷ",26.0,2.0,2.0,08/02/2023,TP Hồ Chí Minh,Phú Nhuận,Đông-Nam,Đông-Nam,Bán Nhà riêng,3.3,https://batdongsan.vn/ban-nha-hem-hoang-van-thu-3-tang-ngang-42m-nhinh-3-ty-r274303
"NGỘP SÂU, GIẢM 300TR BÁN NHANH,NHÀ MT Đ.SỐ 1 TRUNG TÂM HÀNH CHÍNH, TP. DĨ AN",61.0,5.0,4.0,08/02/2023,Bình Dương,Dĩ An,,,Bán Nhà riêng,5.55,https://batdongsan.vn/ngop-sau-giam-300tr-ban-nhanhnha-mt-dso-1-trung-tam-hanh-chinh-tp-di-an-r274302
"Bán nhà Nguyễn Văn Cừ, 65m2 x5 tầng, kinh doanh, ô tô tránh",65.0,4.0,4.0,08/02/2023,Hà Nội,Long Biên,,,Bán Nhà riêng,8.5,https://batdongsan.vn/ban-nha-nguyen-van-cu-65m2-x5-tang-kinh-doanh-o-to-tranh-r274300
"Bán nhà mặt phố An Trạch, Cát Linh, Đống Đa, Hà Nội 112m2 x 4t Mt 8m Giá 37,5 tỷ",112.0,6.0,6.0,08/02/2023,Hà Nội,Đống Đa,,,Bán Nhà mặt phố,37.5,https://batdongsan.vn/ban-nha-mat-pho-an-trach-cat-linh-dong-da-ha-noi-112m2-x-4t-mt-8m-gia-375-ty-r274299
"Bán nhà Hoàng Văn Thái, Thanh Xuân, lô góc, thang máy, kinh doanh 7 tầng 60 m2 giá 15.6 tỷ",60.0,8.0,6.0,08/02/2023,Hà Nội,Thanh Xuân,,,Bán Nhà riêng,15.6,https://batdongsan.vn/ban-nha-hoang-van-thai-thanh-xuan-lo-goc-thang-may-kinh-doanh-7-tang-60-m2-gia-156-ty-r274298
"Nhà Mới Mặt Tiền Kinh Doanh Nguyễn Khuyến, Phường 12, Bình Thạnh, 55 m2, 5 Tầng, Nhỉnh 8 Tỷ.",55.0,4.0,4.0,08/01/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,8.4,https://batdongsan.vn/nha-moi-mat-tien-kinh-doanh-nguyen-khuyen-phuong-12-binh-thanh-55-m2-5-tang-nhinh-8-ty-r274289
ĐƯỜNG XE TẢI 8M - PHÚ NHUẬN - CÂCH 15M MẶT TIỀN TRƯỜNG SA - KHU DÂN CƯ VIP.,63.0,,,08/01/2023,TP Hồ Chí Minh,Phú Nhuận,,,Bán Nhà riêng,9.0,https://batdongsan.vn/duong-xe-tai-8m-phu-nhuan-cach-15m-mat-tien-truong-sa-khu-dan-cu-vip-r274287
"BÁN NHÀ HXT LẠC LONG QUÂN, P1, Q11, 39M2 2 TẦNG ĐẸP Ở NGAY CHỈ 5.5 TỶ, 035095924.",39.0,,,08/01/2023,TP Hồ Chí Minh,Quận 11,,,Bán Nhà,5.7,https://batdongsan.vn/ban-nha-hxt-lac-long-quan-p1-q11-39m2-2-tang-dep-o-ngay-chi-55-ty-035095924-r274286
"BÁN NHÀ HXT LẠC LONG QUÂN, P1, Q11, 39M2 2 TẦNG ĐẸP Ở NGAY CHỈ 5.5 TỶ, 035095924.",39.0,,,08/01/2023,TP Hồ Chí Minh,Quận 11,,,Bán Nhà,5.7,https://batdongsan.vn/ban-nha-hxt-lac-long-quan-p1-q11-39m2-2-tang-dep-o-ngay-chi-55-ty-035095924-r274285
"Bán nhà khu vực trung tâm P3, Phú Nhuận, sầm uất, đa nghành nghề.",70.0,6.0,5.0,08/01/2023,TP Hồ Chí Minh,Phú Nhuận,,,Bán Nhà mặt phố,24.0,https://batdongsan.vn/ban-nha-khu-vuc-trung-tam-p3-phu-nhuan-sam-uat-da-nghanh-nghe-r274284
"Bán nhà Lac Long Quân , Phường 8 , Tân Bình ,45m2 , 2 tầng ,giá 4,55ty",45.0,3.0,3.0,08/01/2023,TP Hồ Chí Minh,Tân Bình,,,Bán Nhà riêng,4.55,https://batdongsan.vn/ban-nha-lac-long-quan-phuong-8-tan-binh-45m2-2-tang-gia-455ty-r274282
"Giảm 2 tỷ bán gấp MẶT TIÊN Bàu Cát, P14, Tân Bình 80m2 5 tầng 13 tỷ 0977943598",80.0,,,08/01/2023,TP Hồ Chí Minh,Tân Bình,,,Bán Nhà riêng,13.0,https://batdongsan.vn/giam-2-ty-ban-gap-mat-tien-bau-cat-p14-tan-binh-80m2-5-tang-13-ty-0977943598-r274280
Siêu Hiếm 5.6x10m (2 Tầng) chỉ 3.2tỷ Phan Huy ích P12,50.0,2.0,2.0,08/01/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà mặt phố,3200.0,https://batdongsan.vn/sieu-hiem-56x10m-2-tang-chi-32ty-phan-huy-ich-p12-r274278
"BÁN NHÀ MTKD LÒ SIÊU Q.11 - CHỈ 11 TỶ, TL",52.0,3.0,,08/01/2023,TP Hồ Chí Minh,Quận 11,,,Bán Nhà mặt phố,11.0,https://batdongsan.vn/ban-nha-mtkd-lo-sieu-q11-chi-11-ty-tl-r274277
"GÒ VẤP, NGUYỄN OANH, KHÁCH SẠN 6 TẦNG THANG MÁY, DT 4 x 20m, CHỈ 10 TỶ",354.0,13.0,14.0,08/01/2023,TP Hồ Chí Minh,Gò Vấp,Đông,Đông,Bán Nhà mặt phố,10.0,https://batdongsan.vn/go-vap-nguyen-oanh-khach-san-6-tang-thang-may-dt-4-x-20m-chi-10-ty-r274276
"BÁN GẤP NHÀ LẠC LONG QUÂN, TÂN BÌNH, NGANG 4.2M - HXH - GIẢM MẠNH - 5,65 TỶ",50.0,2.0,,08/01/2023,TP Hồ Chí Minh,Tân Bình,,,Bán Nhà riêng,5.65,https://batdongsan.vn/ban-gap-nha-lac-long-quan-tan-binh-ngang-42m-hxh-giam-manh-565-ty-r274275
"NHÀ MỚI GIÁP TÂN HÒA ĐÔNG - HƯƠNG LỘ 2, 2 TẦNG, 2 PHÒNG NGỦ, NHỈNH 2 TỶ",,,,08/01/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà riêng,2930000000.0,https://batdongsan.vn/nha-moi-giap-tan-hoa-dong-huong-lo-2-2-tang-2-phong-ngu-nhinh-2-ty-r274274
"Bàn nhà Nguyễn Văn Cừ, Long Biên, 150M x 3 tầng, MT 9M, ô tô, 15 tỷ 4",150.0,4.0,4.0,08/01/2023,Hà Nội,Long Biên,,,Bán Nhà riêng,15.4,https://batdongsan.vn/ban-nha-nguyen-van-cu-long-bien-150m-x-3-tang-mt-9m-o-to-15-ty-4-r274273
"Siêu phẩm Ngọc Thuỵ, 85m x 6tầng, thang máy, gara, nở hậu, full nội thất",85.0,4.0,5.0,08/02/2023,Hà Nội,Long Biên,,,Bán Nhà riêng,14.0,https://batdongsan.vn/sieu-pham-ngoc-thuy-85m-x-6tang-thang-may-gara-no-hau-full-noi-that-r274272
BÁN NHÀ THÁI HÀ PHƯỜNG TRUNG LIỆT QUẬN ĐỐNG ĐA 48M 4 TẦNG GIÁ 4.5 TỶ,48.0,4.0,4.0,08/02/2023,Hà Nội,Đống Đa,,,Bán Nhà riêng,4.5,https://batdongsan.vn/ban-nha-thai-ha-phuong-trung-liet-quan-dong-da-48m-4-tang-gia-45-ty-r274271
Qúa Nhiều Tiện Ích Khu đất Dịch Vụ Hàng Bè Kiến Hưng Hà Đông 50m 5 Tầng Giá 7.3 Tỷ,50.0,6.0,4.0,08/02/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,7.3,https://batdongsan.vn/qua-nhieu-tien-ich-khu-dat-dich-vu-hang-be-kien-hung-ha-dong-50m-5-tang-gia-73-ty-r274270
"Bán nhà đường Bình Chiểu, chủ gấp bán hạ giá còn 8ty1 cho nhà 4 lầu",133.0,,,08/02/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà mặt phố,8.1,https://batdongsan.vn/ban-nha-duong-binh-chieu-chu-gap-ban-ha-gia-con-8ty1-cho-nha-4-lau-r274269
"CHỦ GẤP BÁN HẠ CHÀO 50TR, GIÁ CÒN 3.3 TỶ ",71.0,,,08/02/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà mặt phố,3.3,https://batdongsan.vn/chu-gap-ban-ha-chao-50tr-gia-con-33-ty-r274268
"Ngay Lê Trọng Tấn và Tân kỳ Tân Quý, hẻm xe hơi ngang7, 88m 2 tầng chỉ còn 10.5 t.ỷ",88.0,3.0,4.0,08/02/2023,TP Hồ Chí Minh,Tân Phú,,,Bán Nhà riêng,10.5,https://batdongsan.vn/ngay-le-trong-tan-va-tan-ky-tan-quy-hem-xe-hoi-ngang7-88m-2-tang-chi-con-105-ty-r274263
"BÁN NHÀ SỔ HỒNG RIÊNG THỔ CƯ,NGAY CHỢ THẠNH PHÚ,CÁCH CHANGSHIN 2KM,GIÁ 1TỶ7",100.0,3.0,2.0,08/02/2023,Đồng Nai,Vĩnh Cửu,,,Bán Nhà riêng,1.7,https://batdongsan.vn/ban-nha-so-hong-rieng-tho-cungay-cho-thanh-phucach-changshin-2kmgia-1ty7-r274258
"BÁN NHÀ MẶT PHỐ TẠI XÃ SA PA, SA PA, LÀO CAI DIỆN TÍCH 60M2",60.0,7.0,,08/02/2023,Lào Cai,Sa Pa,,,Bán Nhà mặt phố,1000.0,https://batdongsan.vn/ban-nha-mat-pho-tai-xa-sa-pa-sa-pa-lao-cai-dien-tich-60m2-r274256
"Gia đình cần bán nhà đẹp phố Thái Hà sổ đỏ 46m2x7 tầng thang máy, KD tốt, oto đỗ nhà chỉ hơn 12 tỷ",46.0,,,08/01/2023,Hà Nội,Đống Đa,,,Bán Nhà mặt phố,12.0,https://batdongsan.vn/gia-dinh-can-ban-nha-dep-pho-thai-ha-so-do-46m2x7-tang-thang-may-kd-tot-oto-do-nha-chi-hon-12-ty-r274245
"Tương lai ra mặt tiền, Phạm Văn Bạch, 46m2, 4.6x10, xây dựng tự do, 2.75 tỷ",46.0,2.0,1.0,08/01/2023,TP Hồ Chí Minh,Tân Bình,,,Bán Nhà riêng,2.75,https://batdongsan.vn/tuong-lai-ra-mat-tien-pham-van-bach-46m2-46x10-xay-dung-tu-do-275-ty-r274240
CHÍNH CHỦ CẦN BÁN NHÀ Ở ĐƯỜNG NHC GẦN NGÃ 5 ĐẠI HỌC,132.0,2.0,1.0,08/01/2023,Lâm Đồng,Đà Lạt,,,Bán Nhà riêng,7.0,https://batdongsan.vn/chinh-chu-can-ban-nha-o-duong-nhc-gan-nga-5-dai-hoc-r274231
"Nhà mặt tiền Gò Vấp, 1 trệt 1 lầu dt 41m2 công nhận đủ giá 3,2 tỷ thương lượng tốt",41.0,2.0,2.0,08/01/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà mặt phố,3.2,https://batdongsan.vn/nha-mat-tien-go-vap-1-tret-1-lau-dt-41m2-cong-nhan-du-gia-32-ty-thuong-luong-tot-r274225
"TRUNG TÂM SƠN TRÀ, KIỆT OTO 4M, NHÀ MỚI GẦN CẦU SÔNG HÀN.",85.0,4.0,2.0,08/01/2023,Đà Nẵng,Sơn Trà,,,Bán Nhà riêng,2.6,https://batdongsan.vn/trung-tam-son-tra-kiet-oto-4m-nha-moi-gan-cau-song-han-r274223
Bán nhà đất chung cư mini 5 tầng 9 phòng đang kinh doanh,47.0,,,08/01/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,6.11,https://batdongsan.vn/ban-nha-dat-chung-cu-mini-5-tang-9-phong-dang-kinh-doanh-r274220
"HXH 4m, 56m2 4x14m 2 Tầng 3PN, Phan Huy ích, Nhĩnh 4 tỷ",56.0,3.0,2.0,08/01/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà mặt phố,4700.0,https://batdongsan.vn/hxh-4m-56m2-4x14m-2-tang-3pn-phan-huy-ich-nhinh-4-ty-r274218
"Bán nhà phố Ngọc Hà, Ba Đình gần phố, ô tô vào nhà, ở ngay 5 tầng 55 m2 giá 9.8 tỷ",55.0,6.0,4.0,08/01/2023,Hà Nội,Ba Đình,,,Bán Nhà riêng,9.8,https://batdongsan.vn/ban-nha-pho-ngoc-ha-ba-dinh-gan-pho-o-to-vao-nha-o-ngay-5-tang-55-m2-gia-98-ty-r274217
RẺ QUÁ  TỔ 3 KIẾN HƯNG -CÁCH PHỐ 50M - 2 THOÁNG VIEW TRƯỜNG MẦM NON- 33M 5 TẦNG GIÁ 3.1 TỶ,33.0,3.0,4.0,08/01/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,3.1,https://batdongsan.vn/re-qua-to-3-kien-hung-cach-pho-50m-2-thoang-view-truong-mam-non-33m-5-tang-gia-31-ty-r274216
RẺ QUÁ  TỔ 3 KIẾN HƯNG -CÁCH PHỐ 50M - 2 THOÁNG VIEW TRƯỜNG MẦM NON- 33M 5 TẦNG GIÁ 3.1 TỶ,33.0,3.0,4.0,08/01/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,3.1,https://batdongsan.vn/re-qua-to-3-kien-hung-cach-pho-50m-2-thoang-view-truong-mam-non-33m-5-tang-gia-31-ty-r274215
